Arabic,English,Arabic Pl,English Pl,Example
نقلت وكالة الانباء الفرنسية عن شخص,(n) told the French news agency,,,
تخفيض بنسبة 20 في المائة,20 percent discount,,,
خصم بنسبة 20 في المائة,20 percent discount,,,
مقال مكون من 20 صفحة,20-page article,,,
٢٥ عام مرت على,25 years after,,,
٣ من الفائزين بجائزة نوبل,3 nobel laureates,,,
٣ في ٢ يساوي,3 times 2 equals,,,
على بُعد ٣٠٠٠ ميل من الوطن,3000 miles from home,,,
٦ على ٢ يساوي,6 divided by 2 equals,,,
مقتل 9 أشخاص بينهم ضابط برتبة عقيد,9 people dead including a colonel,,,
زيارة استغرقت يومين,a 2-day visit,,,
حوار استمرّ ٧ ساعات,a 7-hour conversation,,,
عصفور في اليد خير من عشرة على الشجرة,a bird in the hand is better than two in the bush,,,
شخص أسود البَشرة,a black person,,,
كل شيء يَزيد على حَده انقلب إلى ضده,a blessing in excess becomes a burden,,,
دعوة للقيام بإضراب عام,a call for a general strike,,,
طواف في مدينة,a canvass (district),,,
سيارة يستقلها شخصان,a car occupied by two people,,,تعرض * لإطلاق نار
حالة تبرهن على ما قلته,a case in point,,,ملف إيران النووي
إبن غير شرعى,a child born out of wedlock,,,
نظرة عن كثف لـ,a closer look at,,,
فترة مختلفة تماما عما نحن عليها اليوم,a compleletly different period,,,
عدد لا يحصى من,a countless number of,,,
دولة قادرة أن تدافع عن نفسها بنفسها,a country that can defend itself by itself,,,
تقرير ذو مصداقية,a credible report,,,
مصدر ذو مصداقية,a credible source,مصادر ذات مصداقية,credible sources,
تهديد ذو مصداقية,a credible threat,,,
نقطة تحول حاسمة,a crucial turning-point,,,
نقطة تحول عصيبة,a crucial turning-point,,,
سلاح ذو حدين,a double-edged sword,,,
غارة شنتها طائرة بدون طيار,a drone strike,,,قتل ب
مثال رائع ل,a fine example of,,,
سيل من الاتصالات,a flood of calls,,,
بصيص من الأمل,a glimmer of hope,,,
امرأة فائقة الجمال,a gorgeous woman,,,
حَفنة من الرمال,a handfull of sand,,,في الصحراء لاح الرجال ك*.
وفد رفيع المستوى,a high-level delegation,,,
جمع غفير من الناس,a large crowd of people,,,
شركة محدودة المسؤولية,a limited liability company,,,
خُصلة من الشعر,a lock of hair,,,تلعب بـ(خصلة من شعرها)
منذ زمن بعيد,a long time ago,,,
منذ وقت طويل,a long time ago,,,
خطيب جهير صوته,a loud-voiced orator,,,
رجل اعتقدوه ميتا,a man thought to be dead,,,
ولاية لحماية المدنيين,a mandate to protect civilians,,,قدّم مجلس الأمن
أمر لا يُؤبه به,a matter of no importance,,,
أمر نرفضه بحسم,a matter that we categorically reject,,,
وطن يعيش فيه الجميع على قدم المساواة,a nation where everyone is equal,,,
حكومة وحدة وطنية,a national unity government,,,
اتفاق غير ملزم,a non-binding agreement,,,
سقط عدد من القتلى والجرحى,a number of people were killed or wounded,,,
أدى إلى وقوع جرحى بينهم أطفال,"a number of people, including children, were injured",,,
رحلة بلا عودة,a one-way trip,,,
يوم حافل بالنشاطات,a packed day,,,
درب مليء بالتضحيات,a path full of sacrifices,,,
منظر مثير للشفقة والحزن,a pathetic sight,,,
سلام مبني على أساس دولتين,a peace based on two states,,,
في المفهوم الكامل,a perfect example of,,,
سيارة نسف نقل,a pickup truck,,,
مكان لقضاء الحاجة,a place to relieve oneself,,,
رد فعل قوي,a powerful reaction,,,
جامعة ذات هيبة,a prestigious university,,,
مبلغ يستعصي عليه أن يؤمنه,a price he can't afford,,,
سباق مع الزمن,a race against time,,,
ريشة في مهب الريح,"a rolling stone,up in the air",,,لست * ولكني مثل تلك النخلة، مخلوق له أصل
سرب من الأسماك,a school of fish,,,
ميزانية قصيرة الأجل,a short-term budget,,,
حل يلُف في الأفق,a solution is on the horizon,,,حل وشيك لا يبدو أنه يلف في الأفق
إطار زمني محدد,a specific timeframe,,,
حالة من اليأس,a state of despair,,,
ولاية تتاخم جنوب السودان,a state that borders South Sudan,,,
خطوة في الاتجاه الصحيح,a step in the right direction,,,
درهم وقاية خير من قنطار علاج,a stitch in time saves nine,,,
غرفة ذات جو خانق,a stuffy room,,,
هجوم انتحاري بسيارة مفخخة,a suicide car bomb,,,
حكومة اهتز وضعها,a teetering government,,,
وقف مؤقت لإطلاق النار,a temporary ceasefire,,,
قضية في صلب النقاش,a topic everyone is discussing,,,
تأشيرة سارية المفعول,a valid visa,,,
شجرة وارفة الظلال,a verdant tree,,,
دائرة أثيمة من العنف,a vicious circle of violence,,,
دائرة مفرغة من العنف,a vicious circle of violence,,,
شخص كريم الأخلاق,a well-mannered person,,,
وظيفة ذات راتب مرتفع,a well-paid job,,,
موقع التراث العاملي,a world heritage site,مواقع التراث العالمي,world heritage sites,قد اعتبرته منظمة اليونسكو ضمن (مواقع التراث العالمي)
شيك عديم القيمة,a worthless check,,,
وهو شارد اللب,absentmindedly,,,قرأ الفاتحة * إرضاء لأبيه
في منتهى الروعة,absolutely marvelous,,,
إساءة استخدام المنصب,abuse of office,,,
إساءة استخدام السلطة,abuse of power,,,
أفاد مصدر أمني,according to a security source,,,
من هذا المنطلق,accordingly,,,
في أرجاء العالم العربي,across the Arabic world,,,
في شتى المجالات,across the board,,,
عمل من أعمال المجاملة,act of courtesy,,,
أمين عام بالنيابة,acting secretary general,,,
قائم بعمل الأمين العام,acting secretary general,,,
زنى / زناء,adultery,,,
في متناول الجميع,affordable,,,
الرعاية الصحية بأسعار معقولة,affordable healtchare,,,
بعد طول غياب,after a long absence,,,عاد الفنان الكبير عادل إمام لجمهور الشاشة الفضية *
قبل كل شيء وبعد كل شيء,after all,,,
بعد ما يقرب من ١٠٠ عام,after almost 100 years,,,
بعد أشهر من التكناهت,after months of speculation,,,
بعد اللتيا والتي,after much ado,,,
الوفيات حسب الأعمار,age-specific mortality,,,
متقدم على عصره,ahead of his time,,,
مرض فقدان المناعة المكتسَبة,AIDS,,,
مرض نقص المناعة المكتسَبة,AIDS,,,
جسيمات عالقة بالهواء,airborne particles,,,
ملوثات يحملها الهواء,airborne pollutants,,,
جهاز تكييف الهواء,airconditioner,,,
ذو أساس كحولي,alcohol-based,,,حبر
أثبات التغيب عن المكان,alibi,,,
كافة الأطراف المعنية,all concerned parties,,,
ما يهمني هو أن,all I care about is,,,
خير الأمور الوسط,all things in moderation,,,
على مدار حياتهم,all through their lives,,,
ولا نملك له الآن سوى,all we can do for him now is,,,ولا نملك له الآن سوى الدعاء له بالرحمة والمغفرة
أمريكا ماضية في تكريس نفسها,America intends to become,,,
منظمة العفو الدولية,Amnesty International,,,
بين الحاصلين على تعليم جماعي,amongst college graduates,,,نسبة الموافقة على أداء الرئيس *
تنبؤ في محله,an accurate prediction,,,
اتفاق يجري التفاوض عليه الآن,an agreement currently being discussed,,,
تم الاتفاق على,an agreement has been reached on,,,
كاتب مجهول الاسم,an anonymous writer,,,
مظاهرة مناوئة للحكومة,an anti-government protest,مظاهرات مناوئة للحكومة,anti-government protests,
هجوم ضدّ الإنسانية,an attack against humanity,,,
محاولة احتواء التوتر,an attempt to ease tensions,,,
نسخة طبق الأصل لـ,an exact copy of,,,
فكرة أنا على استعداد أن أموت من أجلها,an idea I am ready to die for,,,
دستور شامل للجميع,an inclusive constitution,,,
جزء لا يتجزأ من,an integral part of,,,
تأشيرة غير سارية المفعول,an invalid visa,,,
جيش لا يقهر,an invincible army,,,
إغراء لا يقاوم,an irresistible temptation,,,
سياسية الأبواب المفتوحة,an open door policy,,,تبنى
حقيقة لا يمكن إنكارها,an undeniable fact,,,
مكان لم يُكشف عنه,an undisclosed location,,,
تقييم غير عادل,an unfair assessment,,,
عمل غير مبرر,an unjustified act,,,
هجوم لا مبرر له,an unprovoked attack,,,
وزيادة في الاحتياط,and as an extra precaution,,,
ومن جملة ما قال,"and he said, among other things",,,
إلى غير ذلك,and so on,,,
سوف تبذل الولايات المتحدة كل ما في وسعها,And the United States will do everything in our power,,,
فهذا ساهم في,and this contributed to,,,
أعلنوا نتائج تقريرهم,announced their findings,,,
احتمال الوفيات السنوى,annual death probability,,,
الصواريخ المضادة للطائرات,anti-aircraft missiles,,,
مظاهرات مناوئة للحكومة,anti-government protests,,,
أي تهديد يمكن توقعه مستقبلا,any foreseeable threat,,,
هل من جديد في هذا الصدد؟,anything new to report here?,,,
عذراً على هذا المقاطع,apologies for that interruption,,,
على ما يبدو,apparently,,,
التهاب الزائدة الدودية,appendicitis,,,
حركة شباب 6 إبريل,april 6th youth movement,,,
أرض صالحة للزراعة,arable land,,,
متخصص فى المجال العمرانى,architect,,,
لا أساس لها من الصحة,are untrue,,,
عربات الشرطة المصفحة,armored police trucks,,,
على مدار الساعة,around the clock,,,
بمختلف أنهاء العالم,around the world,,,
معتقل على خلفية انتمائه ل,arrested for his membership in,,,
في واقع الأمر,as a matter of fact,,,
بصفتي مواطناً أمريكياً,as an American citizen,,,
أما بالنسبة ل,as far as __ is concerned,,,
كما فهِمت من,as far as I understood from,,,
على ما أعتبره,as far as I'm concerned,,,
أما فيما يتعلّق بقضية,as for the issue of,,,
كأنما هي نهاية العالم قد حلت,as if the world had ended,,,تتمهل الصورة وترتفع الموسيقى *
ما دمت حيا,as long as I live,,,
طويلا ما استطعت,as long as you can,,,
قديم قِدم الجدار نفسه,as old as the wall itself,,,
فور الحصول على,as soon as I receive,,,
مع بداية النمو السكني,as the population begins to grow,,,
بصفتي رئيساً ل,as the president of,,,
كما يقول المثل,as the saying goes,,,
كما هي العادة,as usual,,,
اثناء ما نتحدّث,as we speak,,,
كما تعلم أكثر من غيرك,as you know better than anyone else,,,
في تمام الساعة الواحدة بعد الظهر,at 1pm sharp,,,
في سنّ مبكّر,at a young age,,,
على أية حال,at any rate,,,
في الوطن وفي الغربة,at home and abroad,,,
سكان معرضون للخطر,at risk population,,,
عن عمر يناهز,at the age of,,,توفى * 91 عاما
عن 95 عاما,at the age of 95,,,وفاة نيلسون مانديلا
إلى أقصى حدود,at the most,,,
مع اندلاع الحرب العالمية الأولى,at the outbreak of WWI,,,
في أوج مجدهم,at the pinnacle of their glory,,,احتلها البرتغاليون في أوج مجدهم القصير
في عمر الزهور,at the prime of their youth,,,
في مقتبل العمر,at the prime of youth,,,أنتِ ما زلت شابة *
على أقصى تقدير,at the very most,,,
في بعض الأحيان,at times,,,
الوسائل السمعية - البصرية,audio-visual equipment,,,
يجيز استخدام القوة,authorizes the use of force,,,
التفلت من الالتزام,avoiding one's responsibilities,,,
على علم ب,aware of,,,لست على علم ب
بشكل غير مألوف,awkwardly,,,
كمية نقل البيانات,bandwidth,,,
احتفال بلوغ عند اليهود,bar mitzvah,,,
مبني على حكاية حقيقية,based on a true story,,,
القائمة على أساس الاحترام المتبادل,based on mutual respect,,,علاقة
بسبب عدم جديتهم في,because they are not serious about,,,
قبل هطول الأمطار,before the rains,,,حرث *
حاسبوا أنفسكم قبل أن تحاسبوني,"before you accuse me, take a look at yourself",,,
من النوع الحميد,benign,,,ورم
فضلا عن ذلك,besides,,,
بين شقي الرحى,between a rock and a hard place,,,
بين مطرقة وسندان,between a rock and a hard place,,,
مكون من غرفتين,bicameral,,,
الاكتئاب ثنائي القطب,bipolar disorder,,,
حبوب منع الحمل,birth control pills,,,
توت الأسود المعلق,blackberry,,,
تحميل شخص مسؤولية حدث,blaming s.o. for s.th.,,,
مؤشر الكتلة الجسدية,body mass index,,,
صبر بلا حدود,boundless patience,,,
تلويح مهدد بالسلاح,brandishing a weapon,,,
خير الكلام ما قل ودل,Brevity is the soul of wit,,,
التهاب الشُعب الهوائية,bronchitis,,,
سديري واقي من الرصاص,bullet-proof vest,,,
لكن هذا لا يبرر,but that is no excuse for,,,
بحلول عام ٢٠١٤,by 2014,,,
بشتّى الوسائل الممكنة,by all means possible,,,
ظهرا عن قلب,by heart,,,
عن ظهر القلب,by heart,,,
برا وبحرا وجوا,"by land, sea and air",,,
تعديل مجلس الوزراء,cabinet reshuffle,,,
لن يتم إلا عن طريق,can only be achieved through,,,- الحوار- انتباخات جديدة
يمكن فقط التغلب عليه من خلال,can only be overcome through,,,الوقائع المريرة للمجتمع الانساني * من خلال
هل يمكننا الوثوق فيه؟,Can we trust him?,,,
لا يمكن أن يقدم أكثر مما قدمه,cannot give any more,,,
أول أكسيد الكربون,carbon monoxide,,,
مادة مسببة للسرطان,carcinogen,,,
حكومة تسيير الأعمال,caretaker government,,,
قوات الأمن المركزي,central security forces,,,
رئيس مجلس الإدارة,CEO,,,
أدخلت عليه تعديلات,changes were made to it,,,
مصنع للمواد الكيماوية,chemical plant,,,
إساءة إلى الأولاد,child abuse,,,
سوء التغذية فى مرحلة الطفولة,childhood malnutrition,,,
ذات الشعر الطوير,Cinderella,,,
ضحايا بين المدنيين,civilian casualties,,,
ارتفعت حصيلة الاشتباكات,clashes have increased,,,
خوف من الأماكن المغلقة,claustrophobia,,,
تكنولوجيا صديقة للبيئة,clean technology,,,
النظافة من الإيمان,cleanliness is close to godliness,,,
قريب بما فيه الكفاية,close enough,,,
مؤتمر صحفي ختامي,closing press conference,,,
إغلاق معبر رفح,closing the bording at Rafah,,,
شباب إئتلاف الثورة,coalition of revolutionary youth,,,
المجتمعات المتضررة من,communities affected by,,,تعدين الفحم
انسحاب بشكل كامل من,complete withdrawl from,,,
على ثقّة أن,confident that,,,
تضارب أنباء حول,conflicting reports on,,,
أقدّم بالتهنئة ل,congratulations to,,,
الخدمة العسكرية الإلزامية,conscription,,,
الحفاظ علي الطبيعة,conservation of nature,,,
على اعتبار أنّ,considering that,,,
أحكام متنازع عليها,contested decisions,,,
استمرار الاحتلال الاسرائيلي ل,continued Israeli occupation of,,,الأرضي الفلسطينية
قضايا مثيرة للجدل,controversial issues,,,
اتفاقية حقوق الطفل,Convention on the Rights of the Child,,,
محقق في أسباب الوفيات,coroner,,,
مجتمع متعدد الجنسيات,cosmopolitan society,,,
هل لك أن ؟,could you ?,,,تذكر أسماءهم
في اتجاه عقارب الساعة,counter clockwise,,,
الدول الضالعة في دعم الإرهاب,Countries involved in supporting terrorism,,,طالب * بالتوقف
زميل في العمل,coworker,زملاء في العمل,coworkers,
وحدة المعالجة المركزية,CPU,,,
التوق إلى شيء,craving s.th.,,,
الحد من ظاهرة الهجرة,curbing immigration,,,غير الشرعية
إعاقة سبل الاتصال,cutting off communications,,,
حجب سبل الإتصال,cutting off communications,,,
يوما بعد يوم,day after day,,,
تفويض نظام مبارك,de-mubarakization,,,
موعد تسليم المهمة,deadline,مواعيد تسليم المهام,deadlines,
يا سيدي الفاضل,dear sir,,,
الاستعباد باستخدام الديون,debt bondage,,,
صلاحيات اتخاذ القرار,decision-making authority,,,
إعلان الحرب على,declaration of war on,,,
أدان الحديث عن,declined to comment on,,,
القضاء على الاستعمار,decolonization,,,
التفاني من أجل,dedication to,,,* إنسانيتنا
منطقة مجردة من السلاح,demilitarized zone,,,
منطقة منزوعة من السلاح,demilitarized zone,,,
الديمقراطية على طول الخط,Democracy is on the line,,,
التحول على الديموقراطية,democratic transition,,,
علم دراسة السكان,demography,,,
رغم إصرارهم السابق,despite their having insisted,,,
تخريب الممتلكات العامة والخاصة,destruction of public and private property,,,
تردي الأوضاع الاقتصادية,deteriorating economic conditions,,,
بلورة إستراتيجية ل,developing a strategy to,,,
