Arabic,English,Arabic Pl,English Pl,Example
رقم نجد,911,,,
رقم الطوارئ,911,,,
علامة تعجب,!,,,
علامة استفهام,?,,,
مغرضة ضد,(biased) against,,,إثارة الضوضاء والدعاية المغرضة ضد مصر
عام على,1 year since,,,عزل مرسى
٢٠ ونيّف,20 something,,,
نكتة بايخة,a bad joke,,,
مكان قاحل,a barren place,,,
إمرأة عاقر,a barren woman,,,
شخص مستفيد,a beneficiary,,,
سؤال محير,a bewildering question,,,
اجتماع ثنائي,a bilateral meeting,,,
اتفاق ملزم,a binding agreement,,,
طير جارح,a bird of prey,طيور جارحة,birds of prey,
لوح الجليد,a block of ice,ألواح الجليد,blocks of ice,
بقعة دم,a blood stain,بُقَع دم,blood stains,
انفجرت قنبلة,a bomb went off,,,
صوت جهوري,a booming voice,,,
غرفة مضاءة,a bright room,,,
خطوة ماكرة,a brilliant move,,,في
شخص لامع,a brilliant person,,,
مصطلح واسع,a broad term,,,
عبء على,a burden on,أعباء على,burdens on,
سنام الجمل,a camel's hump,أسنمة جمال,camels' humps,
خلية سرطانية,a cancerous cell,خلايا سرطانية,cancerous cells,
فتاة عفيفة,a chaste girl,,,
مسؤول تنفيذي,a chief executive,,,
إعانة الأطفال,a child's allowance,,,
نَسَق مترابط,a coherent theory,,,يصيغ نسقاً مترابطاً يفسر من خلاله طبيعة الدوافع
رشح زكام,a cold,,,
فراش وثير,a comfortable mattress,,,
شركة مقرها,a company headquartered in,,,شركة مقرها القاهرة
مثال ملموس,a concrete example,,,
تعرض المصالح,a conflict of interests,منعا ل*,,
صلة ب,a connection to,,,
مرض مُعْد,a contagious disease,,,
نقطة شائكة,a controversial issue,,,
مؤامرة كونية,a cosmic conspiracy,,,مؤامرة كونية على مصر
موجة صاخبة,a crashing wave,,,الحب الجديد غطاه كالموجة الصاخبة.
مسجل جنائيا,a criminal,مسجلون جنائيا,criminals,
علاج ناجع,a cure,,,ليس هناك * للمرض
طريق مسدود,a dead end,,,
ابن حلال,a decent guy,,,
عيش كريم,a decent living,,,
شخص وقور,a decent person,,,
تحالف عضوي,a deep alliance *,,,
سر دفين,a deep secret,,,‏
محاولة يائسة,a desperate attempt,,,
تحليل مفصل,a detailed analysis,,,
حرب ضروس,a devastating war,,,
حملة شعواء,a devistating campaign,,,
حرب طاحنة,a devistating war,,,
حل دبلوماسي,a diplomatic solution,,,
نتيجة كارثية,a disastrous result,,,
طائرة منكوبة,a downed plane,,,
مشروع قرار,a draft resolution,,,
ابن بار,a dutiful son,,,
تلفيق نابع,a fabricated accusation,,,هذا * لوقف مسيرتي السياسية
محاولة فاشلة,a failed attempt,,,
صورة مزيفة,a fake picture,,,
سلام مزيّف,a false peace,,,
نبات سرخسي,a fern,النباتات السرخسية,ferns,تزدهر (النباتات السرخسية) والفطريات في كل مكان
معركة ضارية,a fierce battle,,,
تسوية نهائية,a final settlement,,,
نشِب حريق,a fire broke out,,,توفى والده أثر حريق نشب فى المتحف
عباءة فضفاضة,a flowing robe,,,
ورقة مطوية,a folded paper,,,
تحصيل حاصل,a foregone conclusion / taken for granted,,,المبارة تعد *
رائحة بغيضة,a foul smell,,,
رائحة كريهة,a foul smell,,,
رائحة محزنة,a foul smell,,,
نكتة مضحكة,a funny joke,,,
لفيف من,a gathering of,,,حضره * قيادات الوزارة
جو كئيب,a gloomy atmosphere,,,
فرصة ذهبية,a golden opportunity,,,
سؤال وجيه,a good question,,,
سبب وجيه,a good reason,,,
إشارة جيدة,a good sign,,,
انتهاك خطير,a grave breach,,,
طالب مجتهد,a great student,,,
شاب وسيم,a handsome guy,,,
اشرأبّ رأس,a head turned,,,لم يشرئب رأس
جريمة بشعة,a heinous crime,,,
جريمة شنيعة,a heinous crime,,,
جريمة نكراء,a heinous crime,,,
قطيع حيوانات,a herd of animals,,,
مصداقية عالية,a high degree of credibility,,,
تلويح ب,a hint that,,,
صوت أجشّ,a hoarse voice,,,
صفارة مبحوحة,a hoarse whistle,,,
حادث فظيع,a horrible accident,,,
حادث مروع,a horrible accident,,,
إنسان شنيع,a horrible person,,,
صحوة الحصان,a horse's back,,,
عُرف الحصان,a horse's mane,,,
عمل عدائي,a hostile act,,,
ساحة للحوار,a hub for dialogue,,,
حشد ضخم,a huge crowd,,,كان في انتظاره
سيارة هجينة,a hybrid car,,,مشروعات تعتمد على *
عذر ضعيف,a lame excuse,,,
عذر عرج,a lame excuse,,,
فوز ساحق,a landside victory,,,حقق فوزا ساحقا على
سلام دائم,a lasting peace,,,
موقف قيادة,a leadership position,,,تولى
جثة هامدة,a lifeless body,,,
جبل شاهق,a lofty mountain,,,
سمعة شامخة,a lofty reputation,,,
دار سامقة,a luxurious house,,,
سيارة فارهة,a luxury car,,,
قضية هامة,a major issue,,,
رجل يدعى,a man called,,,
ابن الناس,a man of good family,,,
اجتماع بشأن,a meeting about,,,
نُصب تذكري,a memorial,,,
طائر مهاجر,a migrating bird,,,
شركة حفر,a mining company,شركات الحفر,mining companies,
تراجع طفيف,a minor decrease,,,* في نسبة البطالة
حياة بائسة,a miserable life,,,
حياة تعيسة,a miserable life,,,
بشر فاني,a mortal,,,
أغلبية ضئيلة,a narrow majority,,,
فتاة فتانة,a nice girl,,,
جريمة شائنة,a notorious crime,,,
أم مرضعة,a nursing mother,,,
حل سلمي,a peaceful solution,,,
مناورة سياسية,a political maneuver,,,مجرّد مناورة سياسية
مزرعة داجنة,a poultry farm,مزارع داجنة,poultry farms,
معدن نفيس,a precious metal,,,الذهب معدن نفيس
فوز ثمين,a precious win,,,
عملية مدبّرة,a premeditated act,,,
جامعة مرموقة,a prestigious university,,,
اسم عَلَم,a proper noun,,,
غارة على,a raid on,غارات على,raids on,
حادث عرضي,a random accident,,,
طَفح جلدي,a rash,,,
ذو القُربى,a relative,,,
صوت عاتب,a reproving voice,,,
ثورة جياع,a revolution of the hungry,,,
دولة مارقة,a rogue state,,,
جولة انتخابية,a round of elections,,,
سيولة بالأنف,a runny nose,,,
مأوى للأرهابيين,a safe place for terrorists,,,
امرأة فاتنة,a seductive woman,,,
إصابة خطيرة,a serious injury,,,
ضرب مبرح,a severe beating,,,
استعراض للقوة,a show of force,,,
رفع الإيدي,a show of hands,,,
قائد بارع,a skilled leader,,,
زلة لسان,a slip of the tongue,,,
نسبة ضئيلة,a small percentage,,,
امرأة داهية,a smart woman,,,
شركة برمجيات,a software company,,,
مصدر إلهام,a source of inspiration,,,
جولة فضائية,a space mission,,,
وحش جاثم,a squatting monster,,,
سؤال بارد,a stupid question,,,
هجوم مباغت,a surprise attack,,,
صوت رخيم,a sweet voice,,,أبهرهم بصوته الرخيم
هدنة مؤقتة,a temporary ceasefire,,,
مرض مستعصي,a terminal disease,,,
كارثة رهيبة,a terrible disaster,,,
كارثة مريعة,a terrible disaster,,,
شهادة على,a testament to,,,
تِتر برنامج,a theme song,,,مقدمة أو خاتمة برنامج إذاعيّ أو تليفزيونيّ مصحوبة بموسيقى تصويريّة أو غنائيّة
طبقة سميكة,a thick layer,,,
سيارة محطّمة,a totaled car,,,
معدن قيم,a valuable metal,,,النحاس
استراتيجية واقعية,a viable strategy,,,
هجوم شرس,a vicious attack,,,
